, Brazil , Japan , EU , Sub.Saharan.Africa , Canada , United.States , Latin.America , Rest.Of.World , Southeast.Asia , Mideast.OIL , Russian.Federation , India , South.Africa , China , Ex.USSR ,,
 Brazil , -   ," 9,473,095.52 "," 53,208,812.95 "," 4,888,589.56 "," 3,129,545.94 "," 25,942,952.81 "," 51,532,902.72 "," 15,546,830.90 "," 17,657,137.24 "," 14,479,914.57 "," 4,216,257.42 "," 3,200,695.30 "," 1,680,649.05 "," 44,314,595.34 "," 879,327.61 ",,
 Japan ," 6,206,736.55 ", -   ," 95,945,004.07 "," 6,086,109.86 "," 8,908,721.91 "," 127,674,664.54 "," 34,566,301.75 "," 47,613,647.05 "," 284,217,394.10 "," 20,710,267.80 "," 11,813,423.54 "," 11,077,855.73 "," 4,316,679.87 "," 162,035,385.93 "," 1,936,600.49 ",,
 EU ," 49,569,825.29 "," 69,360,070.70 "," 3,872,233,808.52 "," 62,588,388.65 "," 41,704,080.10 "," 372,312,775.07 "," 87,875,358.74 "," 473,132,700.28 "," 244,368,672.08 "," 200,072,455.89 "," 148,802,434.04 "," 56,137,381.34 "," 35,012,381.79 "," 192,067,948.86 "," 58,839,938.76 ",,
 Sub.Saharan.Africa ," 11,116,491.45 "," 4,208,606.00 "," 89,335,576.95 "," 20,323,010.09 "," 7,807,984.19 "," 67,819,284.15 "," 3,478,933.28 "," 16,661,272.10 "," 18,754,447.84 "," 3,739,429.08 "," 840,860.17 "," 24,596,382.94 "," 11,160,714.74 "," 43,147,425.80 "," 884,126.28 ",,
 Canada ," 2,868,819.95 "," 10,776,245.27 "," 40,348,387.78 "," 1,187,157.81 ", -   ," 331,755,015.92 "," 10,346,816.41 "," 10,962,639.05 "," 15,516,837.23 "," 4,276,468.01 "," 1,511,604.61 "," 2,654,520.70 "," 689,751.08 "," 16,984,615.85 "," 403,132.62 ",,
 United.States ," 42,943,393.78 "," 66,160,368.82 "," 269,647,836.02 "," 13,292,878.91 "," 280,710,218.03 ", -   ," 308,093,805.11 "," 96,525,593.14 "," 205,464,128.94 "," 49,398,382.20 "," 8,285,464.76 "," 21,627,593.87 "," 7,293,975.55 "," 103,878,414.12 "," 4,497,868.28 ",,
 Latin.America ," 37,756,512.50 "," 16,696,237.43 "," 84,012,204.24 "," 2,426,616.83 "," 22,987,823.95 "," 393,176,496.21 "," 111,528,726.66 "," 26,113,490.15 "," 38,671,758.21 "," 8,942,804.43 "," 3,623,262.59 "," 11,997,714.90 "," 1,652,305.31 "," 55,162,392.78 "," 1,460,431.34 ",,
 Rest.Of.World ," 8,025,713.88 "," 61,580,787.39 "," 431,699,516.86 "," 14,425,215.19 "," 12,264,487.20 "," 106,671,598.14 "," 13,697,243.84 "," 65,489,203.57 "," 155,760,191.71 "," 72,405,643.71 "," 15,246,336.18 "," 34,507,160.05 "," 6,142,547.62 "," 81,719,964.03 "," 12,822,523.16 ",,
 Southeast.Asia ," 23,221,401.44 "," 218,630,478.31 "," 264,799,265.46 "," 25,071,248.01 "," 18,107,986.33 "," 235,514,193.02 "," 60,615,395.51 "," 213,768,399.58 "," 713,262,187.73 "," 72,967,826.22 "," 18,589,165.99 "," 76,287,594.78 "," 13,057,520.33 "," 660,431,785.91 "," 6,676,551.54 ",,
 Mideast.OIL ," 10,430,860.51 "," 154,781,472.76 "," 197,238,061.49 "," 13,439,819.78 "," 11,704,586.15 "," 95,639,150.79 "," 3,218,476.22 "," 98,148,032.72 "," 314,471,861.28 "," 77,884,265.20 "," 1,475,457.59 "," 129,012,868.17 "," 10,341,227.24 "," 111,483,162.42 "," 3,138,367.21 ",,
 Russian.Federation ," 2,102,530.02 "," 14,234,690.26 "," 230,540,421.60 "," 1,411,062.78 "," 536,750.67 "," 15,626,334.64 "," 4,385,771.18 "," 36,261,730.51 "," 23,084,758.21 "," 11,736,898.13 ", -   ," 4,665,703.62 "," 114,617.11 "," 34,692,362.00 "," 65,026,553.46 ",,
