"","x"
"1","Afghanistan"
"2","Albania"
"3","American.Samoa"
"4","Andorra"
"5","Anguilla"
"6","Antigua.and.Barbuda"
"7","Aruba"
"8","Bahamas"
"9","Bahrain"
"10","Bangladesh"
"11","Barbados"
"12","Belize"
"13","Bermuda"
"14","Bhutan"
"15","Bonaire..Sint.Eustatius.and.Saba"
"16","Bosnia.and.Herzegovina"
"17","British.Virgin.Islands"
"18","Brunei.Darussalam"
"19","Cambodia"
"20","Cayman.Islands"
"21","China..Macao.SAR"
"22","Cook.Islands"
"23","Dem..Rep..of.the.Congo"
"24","Dominica"
"25","Faeroe.Islands"
"26","Falkland.Islands..Malvinas."
"27","Fiji"
"28","French.Polynesia"
"29","Gibraltar"
"30","Greenland"
"31","Grenada"
"32","Guam"
"33","Guyana"
"34","Iceland"
"35","Indonesia"
"36","Indonesia...2002."
"37","Israel"
"38","Jamaica"
"39","Jordan"
"40","Kiribati"
"41","Korea..Dem..People.s.Rep..of"
"42","Lao.People.s.Dem..Rep."
"43","Lebanon"
"44","Maldives"
"45","Marshall.Islands"
"46","Micronesia..Federated.States.of."
"47","Mongolia"
"48","Montenegro"
"49","Montserrat"
"50","Myanmar"
"51","Nauru"
"52","Nepal"
"53","Netherlands.Antilles"
"54","New.Caledonia"
"55","Niue"
"56","Northern.Mariana.Islands"
"57","Norway"
"58","Oman"
"59","Pakistan"
"60","Palau"
"61","Papua.New.Guinea"
"62","Republic.of.Moldova"
"63","Saint.Helena"
"64","Saint.Kitts.and.Nevis"
"65","Saint.Lucia"
"66","Saint.Pierre.and.Miquelon"
"67","Saint.Vincent.and.the.Grenadines"
"68","Samoa"
"69","Serbia"
"70","Serbia.and.Montenegro"
"71","Sint.Maarten..Dutch.part."
"72","Solomon.Islands"
"73","Sri.Lanka"
"74","State.of.Palestine"
"75","Sudan...2011."
"76","Suriname"
"77","Switzerland"
"78","Syrian.Arab.Republic"
"79","TFYR.of.Macedonia"
"80","Timor.Leste"
"81","Tokelau"
"82","Tonga"
"83","Trinidad.and.Tobago"
"84","Turkey"
"85","Turks.and.Caicos.Islands"
"86","Tuvalu"
"87","United.Republic.of.Tanzania"
"88","Vanuatu"
"89","Wallis.and.Futuna.Islands"
"90","Western.Sahara"
"91","Yemen"
