"","x"
"1","Afghanistan"
"2","Albania"
"3","American Samoa"
"4","Andorra"
"5","Antigua and Barbuda"
"6","Aruba"
"7","Bahamas, The"
"8","Bahrain"
"9","Bangladesh"
"10","Barbados"
"11","Belize"
"12","Bermuda"
"13","Bhutan"
"14","Bosnia and Herzegovina"
"15","Brunei Darussalam"
"16","Cambodia"
"17","Cayman Islands"
"18","Central Europe and the Baltics"
"19","Congo, Rep."
"20","Curacao"
"21","Dominica"
"22","Faeroe Islands"
"23","Fiji"
"24","Fragile and conflict affected situations"
"25","French Polynesia"
"26","Greenland"
"27","Grenada"
"28","Guam"
"29","Guyana"
"30","Iceland"
"31","Indonesia"
"32","Isle of Man"
"33","Israel"
"34","Jamaica"
"35","Jordan"
"36","Kiribati"
"37","Korea, Dem. Rep."
"38","Kosovo"
"39","Lao PDR"
"40","Lebanon"
"41","Liechtenstein"
"42","Macao SAR, China"
"43","Macedonia, FYR"
"44","Maldives"
"45","Marshall Islands"
"46","Micronesia, Fed. Sts."
"47","Moldova"
"48","Monaco"
"49","Mongolia"
"50","Montenegro"
"51","Myanmar"
"52","Nepal"
"53","New Caledonia"
"54","Northern Mariana Islands"
"55","Norway"
"56","Oman"
"57","Pakistan"
"58","Palau"
"59","Papua New Guinea"
"60","Puerto Rico"
"61","Samoa"
"62","San Marino"
"63","Serbia"
"64","Sint Maarten (Dutch part)"
"65","Solomon Islands"
"66","South Sudan"
"67","Sri Lanka"
"68","St. Kitts and Nevis"
"69","St. Lucia"
"70","St. Martin (French part)"
"71","St. Vincent and the Grenadines"
"72","Suriname"
"73","Switzerland"
"74","Tanzania"
"75","Timor-Leste"
"76","Tonga"
"77","Trinidad and Tobago"
"78","Turkey"
"79","Turks and Caicos Islands"
"80","Tuvalu"
"81","Vanuatu"
"82","Virgin Islands (U.S.)"
"83","West Bank and Gaza"
"84","Yemen, Rep."
"85","World"
