"","shock","exporter_taxed","importer_taxing","industry","value","rawshock"
"1",1,1,1,1,0,0.25
"2",1,2,1,1,0.0918228,0.25
"3",1,3,1,1,0.1012883,0.25
"4",1,4,1,1,0.1141619,0.25
"5",1,5,1,1,0,0.25
"6",1,6,1,1,0.0006241,0.25
"7",1,7,1,1,0.1021358,0.25
"8",1,1,2,1,0.25,0.25
"9",1,2,2,1,0,0.25
"10",1,3,2,1,0.0468861,0.25
"11",1,4,2,1,0.3842492,0.25
"12",1,5,2,1,0.3652649,0.25
"13",1,6,2,1,0.3309535,0.25
"14",1,7,2,1,0.0249699,0.25
"15",1,1,3,1,0.56791725,0.25
"16",1,2,3,1,0.2384681,0.25
"17",1,3,3,1,0,0.25
"18",1,4,3,1,0.1572416,0.25
"19",1,5,3,1,0.1965141,0.25
"20",1,6,3,1,0.1954955,0.25
"21",1,7,3,1,0.2364042,0.25
"22",1,1,4,1,0.25,0.25
"23",1,2,4,1,0,0.25
"24",1,3,4,1,0.5842538,0.25
"25",1,4,4,1,0,0.25
"26",1,5,4,1,0.6999795,0.25
"27",1,6,4,1,0.3757072,0.25
"28",1,7,4,1,0.7937888,0.25
"29",1,1,5,1,2.66235375,0.25
"30",1,2,5,1,5.131616,0.25
"31",1,3,5,1,2.88048,0.25
"32",1,4,5,1,3.46332,0.25
"33",1,5,5,1,0,0.25
"34",1,6,5,1,4.510282,0.25
"35",1,7,5,1,4.017697,0.25
"36",1,1,6,1,0.35148325,0.25
"37",1,2,6,1,0.0782433,0.25
"38",1,3,6,1,0.524475,0.25
"39",1,4,6,1,0.0573413,0.25
"40",1,5,6,1,0.0670089,0.25
"41",1,6,6,1,0,0.25
"42",1,7,6,1,0.0704627,0.25
"43",1,1,7,1,0.267211,0.25
"44",1,2,7,1,0.0652523,0.25
"45",1,3,7,1,0.0625771,0.25
"46",1,4,7,1,0.0110279,0.25
"47",1,5,7,1,0.0602,0.25
"48",1,6,7,1,0.0135381,0.25
"49",1,7,7,1,0,0.25
"50",1,1,1,2,0,0.25
"51",1,2,1,2,0,0.25
"52",1,3,1,2,0,0.25
"53",1,4,1,2,0,0.25
"54",1,5,1,2,0,0.25
"55",1,6,1,2,0.0029567,0.25
"56",1,7,1,2,0.0499999,0.25
"57",1,1,2,2,0.25,0.25
"58",1,2,2,2,0,0.25
"59",1,3,2,2,0,0.25
"60",1,4,2,2,0,0.25
"61",1,5,2,2,0,0.25
"62",1,6,2,2,0.4392542,0.25
"63",1,7,2,2,0.4910856,0.25
"64",1,1,3,2,0.370080375,0.25
"65",1,2,3,2,0.0110518,0.25
"66",1,3,3,2,0,0.25
"67",1,4,3,2,0.0543242,0.25
"68",1,5,3,2,0,0.25
"69",1,6,3,2,0.0575124,0.25
"70",1,7,3,2,0.0603449,0.25
"71",1,1,4,2,1.5,0.25
"72",1,2,4,2,0,0.25
"73",1,3,4,2,0.9923464,0.25
"74",1,4,4,2,0,0.25
"75",1,5,4,2,0,0.25
"76",1,6,4,2,0.9977705,0.25
"77",1,7,4,2,0,0.25
"78",1,1,5,2,0.25,0.25
"79",1,2,5,2,0.9208344,0.25
"80",1,3,5,2,0.6721293,0.25
"81",1,4,5,2,0,0.25
"82",1,5,5,2,0,0.25
"83",1,6,5,2,0.5999786,0.25
"84",1,7,5,2,0.780997,0.25
"85",1,1,6,2,0.496345125,0.25
"86",1,2,6,2,0.02287,0.25
"87",1,3,6,2,0.1863543,0.25
"88",1,4,6,2,0.0054201,0.25
"89",1,5,6,2,0.0398216,0.25
"90",1,6,6,2,0,0.25
"91",1,7,6,2,0.0502895,0.25
"92",1,1,7,2,0.25,0.25
"93",1,2,7,2,0,0.25
"94",1,3,7,2,0.0116026,0.25
"95",1,4,7,2,0,0.25
"96",1,5,7,2,0,0.25
"97",1,6,7,2,0.0002132,0.25
"98",1,7,7,2,0,0.25
"99",1,1,1,3,0,0.25
"100",1,2,1,3,0.0418752,0.25
"101",1,3,1,3,0.0100964,0.25
"102",1,4,1,3,0.0399999,0.25
"103",1,5,1,3,0,0.25
"104",1,6,1,3,0.0025828,0.25
"105",1,7,1,3,0.0188267,0.25
"106",1,1,2,3,0.25,0.25
"107",1,2,2,3,0,0.25
"108",1,3,2,3,0.0154607,0.25
"109",1,4,2,3,0.1650084,0.25
"110",1,5,2,3,0.0642614,0.25
"111",1,6,2,3,0.0233206,0.25
"112",1,7,2,3,0.1229038,0.25
"113",1,1,3,3,0.292599125,0.25
"114",1,2,3,3,0.1259228,0.25
"115",1,3,3,3,0,0.25
"116",1,4,3,3,0.1047503,0.25
"117",1,5,3,3,0.2215015,0.25
"118",1,6,3,3,0.0403804,0.25
"119",1,7,3,3,0.0215099,0.25
"120",1,1,4,3,0.25,0.25
"121",1,2,4,3,0,0.25
"122",1,3,4,3,0,0.25
"123",1,4,4,3,0,0.25
"124",1,5,4,3,0,0.25
"125",1,6,4,3,0.2164666,0.25
"126",1,7,4,3,0.4265925,0.25
"127",1,1,5,3,0.324567875,0.25
"128",1,2,5,3,0.1462285,0.25
"129",1,3,5,3,0.0368699,0.25
"130",1,4,5,3,0.0496758,0.25
"131",1,5,5,3,0,0.25
"132",1,6,5,3,0.4960317,0.25
"133",1,7,5,3,0.1010715,0.25
"134",1,1,6,3,1.6313775,0.25
"135",1,2,6,3,3.115519,0.25
"136",1,3,6,3,0.1068719,0.25
"137",1,4,6,3,0.0362805,0.25
"138",1,5,6,3,2.087911,0.25
"139",1,6,6,3,0,0.25
"140",1,7,6,3,0.5983912,0.25
"141",1,1,7,3,0.250061,0.25
"142",1,2,7,3,0.002579,0.25
"143",1,3,7,3,0.0022448,0.25
"144",1,4,7,3,0.009844,0.25
"145",1,5,7,3,0.0033597,0.25
"146",1,6,7,3,1.54e-05,0.25
"147",1,7,7,3,0,0.25
"148",1,1,1,4,0,0.25
"149",1,2,1,4,0.1176089,0.25
"150",1,3,1,4,0.0948546,0.25
"151",1,4,1,4,0,0.25
"152",1,5,1,4,0.0800001,0.25
"153",1,6,1,4,0.0076982,0.25
"154",1,7,1,4,0.0950517,0.25
"155",1,1,2,4,0.330786125,0.25
"156",1,2,2,4,0,0.25
"157",1,3,2,4,0.0381256,0.25
"158",1,4,2,4,0.0002631,0.25
"159",1,5,2,4,0.0498913,0.25
"160",1,6,2,4,0.0177919,0.25
"161",1,7,2,4,0.0281854,0.25
"162",1,1,3,4,0.353954,0.25
"163",1,2,3,4,0.3414629,0.25
"164",1,3,3,4,0,0.25
"165",1,4,3,4,0.0335009,0.25
"166",1,5,3,4,0.0926143,0.25
"167",1,6,3,4,0.0577321,0.25
"168",1,7,3,4,0.0364958,0.25
"169",1,1,4,4,0.625,0.25
"170",1,2,4,4,0.3661476,0.25
"171",1,3,4,4,0.4781331,0.25
"172",1,4,4,4,0,0.25
"173",1,5,4,4,0.3753839,0.25
"174",1,6,4,4,0.3577138,0.25
"175",1,7,4,4,0.3133101,0.25
"176",1,1,5,4,0.810391375,0.25
"177",1,2,5,4,0.2665033,0.25
"178",1,3,5,4,0.1348101,0.25
"179",1,4,5,4,0.0727102,0.25
"180",1,5,5,4,0,0.25
"181",1,6,5,4,0.1126659,0.25
"182",1,7,5,4,0.1016115,0.25
"183",1,1,6,4,0.294176125,0.25
"184",1,2,6,4,0.1232982,0.25
"185",1,3,6,4,0.1565914,0.25
"186",1,4,6,4,0.0969955,0.25
"187",1,5,6,4,0.1968617,0.25
"188",1,6,6,4,0,0.25
"189",1,7,6,4,0.0505344,0.25
"190",1,1,7,4,0.25206325,0.25
"191",1,2,7,4,0.0182148,0.25
