"clubsize","club","clubindex","Brazil","China","EU","India","Japan","ROW","US","shock","country","welfare","importer","cgroup","rawshock"
1,1,"1:1",1,0,0,0,0,0,0,1,1,1,"Brazil","1.1",0
1,1,"1:1",1,0,0,0,0,0,0,4,7,0.999945757158986,"US","7.1",0.03
1,1,"1:1",1,0,0,0,0,0,0,10,3,0.999787050866671,"EU","3.1",0.09
1,1,"1:1",1,0,0,0,0,0,0,5,7,0.99992828639329,"US","7.1",0.04
1,1,"1:1",1,0,0,0,0,0,0,10,2,0.999911844768382,"China","2.1",0.09
1,1,"1:1",1,0,0,0,0,0,0,11,6,0.999588152344865,"ROW","6.1",0.1
1,1,"1:1",1,0,0,0,0,0,0,3,1,1.00114665952211,"Brazil","1.1",0.02
1,1,"1:1",1,0,0,0,0,0,0,11,7,0.999829369463412,"US","7.1",0.1
1,1,"1:1",1,0,0,0,0,0,0,6,2,0.999949265378654,"China","2.1",0.05
1,1,"1:1",1,0,0,0,0,0,0,2,1,1.00058689410953,"Brazil","1.1",0.01
1,1,"1:1",1,0,0,0,0,0,0,2,4,0.999993475680612,"India","4.1",0.01
1,1,"1:1",1,0,0,0,0,0,0,11,5,0.999934195534316,"Japan","5.1",0.1
1,1,"1:1",1,0,0,0,0,0,0,10,4,0.99994584013393,"India","4.1",0.09
1,1,"1:1",1,0,0,0,0,0,0,1,5,1,"Japan","5.1",0
1,1,"1:1",1,0,0,0,0,0,0,8,1,1.00357427575932,"Brazil","1.1",0.07
1,1,"1:1",1,0,0,0,0,0,0,5,5,0.999972174076472,"Japan","5.1",0.04
1,1,"1:1",1,0,0,0,0,0,0,9,6,0.999664850605757,"ROW","6.1",0.08
1,1,"1:1",1,0,0,0,0,0,0,8,6,0.999704200939394,"ROW","6.1",0.07
1,1,"1:1",1,0,0,0,0,0,0,1,2,1,"China","2.1",0
1,1,"1:1",1,0,0,0,0,0,0,11,4,0.999940399494214,"India","4.1",0.1
1,1,"1:1",1,0,0,0,0,0,0,2,2,0.999989476321232,"China","2.1",0.01
1,1,"1:1",1,0,0,0,0,0,0,7,4,0.999962811967181,"India","4.1",0.06
1,1,"1:1",1,0,0,0,0,0,0,9,7,0.999861261293032,"US","7.1",0.08
1,1,"1:1",1,0,0,0,0,0,0,9,3,0.99980905685518,"EU","3.1",0.08
1,1,"1:1",1,0,0,0,0,0,0,4,2,0.999969003863943,"China","2.1",0.03
1,1,"1:1",1,0,0,0,0,0,0,5,1,1.00218901997176,"Brazil","1.1",0.04
1,1,"1:1",1,0,0,0,0,0,0,7,1,1.00313506352756,"Brazil","1.1",0.06
1,1,"1:1",1,0,0,0,0,0,0,10,6,0.999626173247397,"ROW","6.1",0.09
1,1,"1:1",1,0,0,0,0,0,0,11,2,0.999902893335885,"China","2.1",0.1
1,1,"1:1",1,0,0,0,0,0,0,7,6,0.999744241251291,"ROW","6.1",0.06
1,1,"1:1",1,0,0,0,0,0,0,9,4,0.999951386912783,"India","4.1",0.08
1,1,"1:1",1,0,0,0,0,0,0,10,7,0.999845185678357,"US","7.1",0.09
1,1,"1:1",1,0,0,0,0,0,0,6,7,0.999911108392631,"US","7.1",0.05
1,1,"1:1",1,0,0,0,0,0,0,7,7,0.999894216083139,"US","7.1",0.06
1,1,"1:1",1,0,0,0,0,0,0,8,5,0.99995265533463,"Japan","5.1",0.07
1,1,"1:1",1,0,0,0,0,0,0,6,5,0.999965544901785,"Japan","5.1",0.05
1,1,"1:1",1,0,0,0,0,0,0,4,1,1.00168036173309,"Brazil","1.1",0.03
1,1,"1:1",1,0,0,0,0,0,0,1,7,1,"US","7.1",0
1,1,"1:1",1,0,0,0,0,0,0,7,5,0.999959039742033,"Japan","5.1",0.06
1,1,"1:1",1,0,0,0,0,0,0,5,3,0.999901076789149,"EU","3.1",0.04
1,1,"1:1",1,0,0,0,0,0,0,4,5,0.999978930621928,"Japan","5.1",0.03
1,1,"1:1",1,0,0,0,0,0,0,9,5,0.999946388516423,"Japan","5.1",0.08
1,1,"1:1",1,0,0,0,0,0,0,3,6,0.999911663100016,"ROW","6.1",0.02
1,1,"1:1",1,0,0,0,0,0,0,10,1,1.00438936069311,"Brazil","1.1",0.09
1,1,"1:1",1,0,0,0,0,0,0,6,3,0.999877452011306,"EU","3.1",0.05
1,1,"1:1",1,0,0,0,0,0,0,11,1,1.00476683782149,"Brazil","1.1",0.1
1,1,"1:1",1,0,0,0,0,0,0,3,5,0.999985818038466,"Japan","5.1",0.02
1,1,"1:1",1,0,0,0,0,0,0,3,4,0.999987087447826,"India","4.1",0.02
1,1,"1:1",1,0,0,0,0,0,0,2,6,0.999955429193945,"ROW","6.1",0.01
1,1,"1:1",1,0,0,0,0,0,0,1,4,1,"India","4.1",0
1,1,"1:1",1,0,0,0,0,0,0,1,6,1,"ROW","6.1",0
1,1,"1:1",1,0,0,0,0,0,0,2,7,0.999981606345658,"US","7.1",0.01
1,1,"1:1",1,0,0,0,0,0,0,3,7,0.999963527975874,"US","7.1",0.02
