"","shock","country","club","clubsize","welfare","importer","cgroup","clubindex","rawshock"
"1",1,1,1,1,1.00850261235775,"Brazil","1.1","1:1",0.25
"2",1,4,18,4,1.00552180815482,"India","4.18","4:18",0.25
"3",1,6,18,4,0.983611760143059,"ROW","6.18","4:18",0.25
"4",1,3,6,3,1.01282652035384,"EU","3.6","3:6",0.25
"5",1,7,18,4,1.01577312397914,"US","7.18","4:18",0.25
"6",1,6,1,1,0.999086803638425,"ROW","6.1","1:1",0.25
"7",1,7,1,1,0.999619501280199,"US","7.1","1:1",0.25
"8",1,6,9,3,0.9734585877642,"ROW","6.9","3:9",0.25
"9",1,5,20,3,1.00975653993496,"Japan","5.20","3:20",0.25
"10",1,4,20,3,1.00329219625615,"India","4.20","3:20",0.25
"11",1,7,20,3,0.994225179846001,"US","7.20","3:20",0.25
"12",1,5,10,4,0.978084154438676,"Japan","5.10","4:10",0.25
"13",1,6,17,2,1.01807241492279,"ROW","6.17","2:17",0.25
"14",1,1,34,3,0.989620519942139,"Brazil","1.34","3:34",0.25
"15",1,7,32,4,1.0145991898043,"US","7.32","4:32",0.25
"16",1,3,34,3,0.9827805458649,"EU","3.34","3:34",0.25
"17",1,4,34,3,1.00532498940144,"India","4.34","3:34",0.25
"18",1,5,4,1,0.999838950886111,"Japan","5.4","1:4",0.25
"19",1,7,34,3,1.01086103522119,"US","7.34","3:34",0.25
"20",1,1,1,3,1.00625752870374,"Brazil","1.1","3:1",0.25
"21",1,1,35,4,0.988727002604352,"Brazil","1.35","4:35",0.25
"22",1,2,1,3,1.01222063914758,"China","2.1","3:1",0.25
"23",1,7,11,5,0.978101164401011,"US","7.11","5:11",0.25
"24",1,2,24,4,1.00029160754799,"China","2.24","4:24",0.25
"25",1,5,1,3,0.990742576252001,"Japan","5.1","3:1",0.25
"26",1,1,4,6,1.0002681508395,"Brazil","1.4","6:4",0.25
"27",1,4,4,6,0.975794409274753,"India","4.4","6:4",0.25
"28",1,1,15,3,1.00565689559454,"Brazil","1.15","3:15",0.25
"29",1,7,13,4,1.01543402835527,"US","7.13","4:13",0.25
"30",1,2,15,3,0.986208732122576,"China","2.15","3:15",0.25
"31",1,3,15,3,0.982791786032424,"EU","3.15","3:15",0.25
"32",1,4,15,3,0.986408318455311,"India","4.15","3:15",0.25
"33",1,7,4,6,1.00035940867376,"US","7.4","6:4",0.25
"34",1,2,27,4,1.00089111074635,"China","2.27","4:27",0.25
"35",1,6,4,3,1.01851552245634,"ROW","6.4","3:4",0.25
"36",1,2,16,4,0.980314119388314,"China","2.16","4:16",0.25
"37",1,1,5,4,1.00762765736211,"Brazil","1.5","4:5",0.25
"38",1,3,17,5,1.00746441533768,"EU","3.17","5:17",0.25
"39",1,1,6,5,1.00086901943483,"Brazil","1.6","5:6",0.25
"40",1,7,3,2,0.999240552378765,"US","7.3","2:3",0.25
"41",1,6,3,2,0.998099427570717,"ROW","6.3","2:3",0.25
"42",1,1,17,2,0.993608611878857,"Brazil","1.17","2:17",0.25
"43",1,6,6,5,1.00277193351249,"ROW","6.6","5:6",0.25
"44",1,2,17,2,0.991071842024622,"China","2.17","2:17",0.25
"45",1,7,6,5,1.00218495385294,"US","7.6","5:6",0.25
"46",1,3,17,2,0.987775902272609,"EU","3.17","2:17",0.25
"47",1,2,8,4,1.00075217834148,"China","2.8","4:8",0.25
"48",1,7,17,2,0.987807008699476,"US","7.17","2:17",0.25
"49",1,4,9,5,1.00247793791984,"India","4.9","5:9",0.25
"50",1,2,9,5,1.00309480296011,"China","2.9","5:9",0.25
"51",1,5,6,2,0.995680823699777,"Japan","5.6","2:6",0.25
"52",1,5,20,5,1.0032158142094,"Japan","5.20","5:20",0.25
"53",1,6,10,3,0.994376963271813,"ROW","6.10","3:10",0.25
"54",1,1,22,4,0.98552074761109,"Brazil","1.22","4:22",0.25
"55",1,6,9,5,1.01220381492989,"ROW","6.9","5:9",0.25
"56",1,5,22,4,0.979265808689326,"Japan","5.22","4:22",0.25
"57",1,4,22,4,1.00263584828002,"India","4.22","4:22",0.25
"58",1,2,5,1,0.996544449020001,"China","2.5","1:5",0.25
"59",1,6,22,4,1.00914353178206,"ROW","6.22","4:22",0.25
"60",1,4,5,1,0.999451802772545,"India","4.5","1:5",0.25
"61",1,7,22,4,0.976112956076503,"US","7.22","4:22",0.25
"62",1,7,5,1,0.998356670109011,"US","7.5","1:5",0.25
"63",1,6,13,3,1.01687433476524,"ROW","6.13","3:13",0.25
"64",1,5,24,3,1.00907725883635,"Japan","5.24","3:24",0.25
"65",1,6,24,3,0.977365352592435,"ROW","6.24","3:24",0.25
"66",1,7,24,3,1.0117249415577,"US","7.24","3:24",0.25
"67",1,5,1,5,1.00913827668225,"Japan","5.1","5:1",0.25
"68",1,6,1,5,0.971344571328228,"ROW","6.1","5:1",0.25
"69",1,1,3,4,1.00479736572655,"Brazil","1.3","4:3",0.25
"70",1,7,2,3,0.995656139791076,"US","7.2","3:2",0.25
"71",1,5,3,4,0.979275204483936,"Japan","5.3","4:3",0.25
"72",1,4,3,4,0.980760659460403,"India","4.3","4:3",0.25
"73",1,2,27,3,0.985476585714618,"China","2.27","3:27",0.25
"74",1,7,3,4,0.976158114141704,"US","7.3","4:3",0.25
"75",1,1,5,3,1.00501620030845,"Brazil","1.5","3:5",0.25
"76",1,6,15,5,1.01079081904805,"ROW","6.15","5:15",0.25
"77",1,2,6,5,1.00222523658614,"China","2.6","5:6",0.25
"78",1,7,15,5,1.00930221280486,"US","7.15","5:15",0.25
"79",1,2,28,4,1.01133525195044,"China","2.28","4:28",0.25
"80",1,6,5,3,0.980957205157723,"ROW","6.5","3:5",0.25
"81",1,2,4,2,0.996325994647333,"China","2.4","2:4",0.25
"82",1,1,19,3,0.990162342732588,"Brazil","1.19","3:19",0.25
"83",1,6,17,4,1.01638201577872,"ROW","6.17","4:17",0.25
"84",1,2,19,3,1.01406737376659,"China","2.19","3:19",0.25
"85",1,5,31,4,1.00661138854998,"Japan","5.31","4:31",0.25
"86",1,5,19,3,0.986216751802288,"Japan","5.19","3:19",0.25
"87",1,4,19,3,0.990903456623084,"India","4.19","3:19",0.25
"88",1,7,19,3,1.01124337235196,"US","7.19","3:19",0.25
"89",1,3,30,3,1.01129256377827,"EU","3.30","3:30",0.25
"90",1,2,20,4,0.981917814619145,"China","2.20","4:20",0.25
"91",1,3,7,2,1.01016331022449,"EU","3.7","2:7",0.25
"92",1,1,33,3,0.996311827606689,"Brazil","1.33","3:33",0.25
"93",1,6,33,3,0.984580630105463,"ROW","6.33","3:33",0.25
"94",1,1,10,5,1.0038146640403,"Brazil","1.10","5:10",0.25
"95",1,5,7,2,0.990910552383937,"Japan","5.7","2:7",0.25
"96",1,3,33,3,0.99512425932294,"EU","3.33","3:33",0.25
"97",1,1,21,2,0.989832961471574,"Brazil","1.21","2:21",0.25
"98",1,6,10,5,1.01074458937805,"ROW","6.10","5:10",0.25
"99",1,5,12,4,0.986961716155045,"Japan","5.12","4:12",0.25
"100",1,7,10,5,1.00486237107604,"US","7.10","5:10",0.25
"101",1,6,21,2,1.01327087798274,"ROW","6.21","2:21",0.25
"102",1,5,21,2,0.986085884750299,"Japan","5.21","2:21",0.25
"103",1,6,1,4,0.975898458588583,"ROW","6.1","4:1",0.25
"104",1,1,3,6,1.00060157466839,"Brazil","1.3","6:3",0.25
"105",1,6,12,4,1.00835955575948,"ROW","6.12","4:12",0.25
"106",1,7,12,4,0.980597833306546,"US","7.12","4:12",0.25
"107",1,7,1,4,0.99097026936148,"US","7.1","4:1",0.25
"108",1,2,14,3,0.992614029591438,"China","2.14","3:14",0.25
"109",1,1,26,4,0.981229485639156,"Brazil","1.26","4:26",0.25
"110",1,6,13,5,1.00249101146805,"ROW","6.13","5:13",0.25
"111",1,5,26,4,0.973046143040271,"Japan","5.26","4:26",0.25
"112",1,4,26,4,0.977131806141892,"India","4.26","4:26",0.25
"113",1,2,2,2,0.995999515899917,"China","2.2","2:2",0.25
"114",1,3,2,2,1.01319283385921,"EU","3.2","2:2",0.25
"115",1,7,26,4,1.00231361628883,"US","7.26","4:26",0.25
"116",1,5,2,2,0.997149347080626,"Japan","5.2","2:2",0.25
"117",1,7,2,2,0.995485200672298,"US","7.2","2:2",0.25
"118",1,6,2,2,0.984774108590573,"ROW","6.2","2:2",0.25
"119",1,5,6,6,1.00372517874453,"Japan","5.6","6:6",0.25
"120",1,6,28,3,0.973358400360444,"ROW","6.28","3:28",0.25
"121",1,7,28,3,1.01540250732931,"US","7.28","3:28",0.25
"122",1,1,7,4,1.00484954460812,"Brazil","1.7","4:7",0.25
"123",1,4,6,3,1.0067680936226,"India","4.6","3:6",0.25
"124",1,2,7,4,1.0127667627853,"China","2.7","4:7",0.25
"125",1,6,6,3,0.983679148537139,"ROW","6.6","3:6",0.25
"126",1,1,19,5,0.980214415945797,"Brazil","1.19","5:19",0.25
"127",1,6,7,4,0.979890257532999,"ROW","6.7","4:7",0.25
"128",1,7,7,4,1.01243158112821,"US","7.7","4:7",0.25
"129",1,5,32,4,1.01014918632063,"Japan","5.32","4:32",0.25
"130",1,2,9,3,0.992133809417656,"China","2.9","3:9",0.25
