"rawshock","country","Weights","InWelfare","ElseWelfare","WorldWelfare"
0,"Brazil","0.0279","1","1","1"
0,"China","0.154","1","1","1"
0,"EU","0.121","1","1","1"
0,"India","0.0583","1","1","1"
0,"Japan","0.054","1","1","1"
0,"ROW","0.3917","1","1","1"
0,"US","0.1931","1","1","1"
0.01,"Brazil","0.0279","1.00058689410953","0.999900047264036","0.999921335690675"
0.01,"China","0.154","1.0006996732632","0.999890649141501","0.999913213364757"
0.01,"EU","0.121","1.00085903178744","0.999811184245176","0.999870569607402"
0.01,"India","0.0583","1.00043974098567","0.999853909236853","0.99994647331279"
0.01,"Japan","0.054","1.00076120773104","0.999859341751849","1.0001678072114"
0.01,"ROW","0.3917","1.00118769561858","0.999640392701291","0.999682603630953"
0.01,"US","0.1931","1.00104920468356","0.999838150973406","1.00007200544484"
0.02,"Brazil","0.0279","1.00114665952211","0.999831885425966","1.00004428678301"
0.02,"China","0.154","1.001367979052","0.999816600190509","1.00033504942913"
0.02,"EU","0.121","1.00168262237878","0.999731821187736","1.00010911474219"
0.02,"India","0.0583","1.00085398712614","0.999747582123215","0.999891021460591"
0.02,"Japan","0.054","1.00148942316731","0.999769233672193","0.99986212390493"
0.02,"ROW","0.3917","1.00232796046302","0.999339833118345","0.999488285539405"
0.02,"US","0.1931","1.00205657981942","0.999724265931094","1.00006212641738"
0.03,"Brazil","0.0279","1.00168036173309","0.999659993921834","0.999700216448348"
0.03,"China","0.154","1.0020061267794","0.999442256588692","1.00040828364533"
0.03,"EU","0.121","1.00247210060693","0.999624287250547","1.00005295497444"
0.03,"India","0.0583","1.00124379199169","0.999776544859427","0.999944990603407"
0.03,"Japan","0.054","1.0021858820674","0.999650473776847","0.999787385824537"
0.03,"ROW","0.3917","1.00342242512678","0.99882489521613","0.999308040537152"
0.03,"US","0.1931","1.00302365845873","0.999634676379297","0.999681378740239"
0.04,"Brazil","0.0279","1.00218901997176","0.999507613846053","0.999582425076961"
0.04,"China","0.154","1.00261527427269","0.999701073981018","0.999736819059765"
0.04,"EU","0.121","1.00322873973942","0.999686354390875","0.99956480973202"
0.04,"India","0.0583","1.00161016167482","0.999467659052764","0.999700026831003"
0.04,"Japan","0.054","1.00285176892369","0.99924289035888","0.999415566737955"
0.04,"ROW","0.3917","1.00447266031467","0.998647814223134","0.999765849101991"
0.04,"US","0.1931","1.00395191269202","0.999501899215282","0.99988970218913"
0.05,"Brazil","0.0279","1.00267360945089","0.999434594298487","0.999524962821239"
0.05,"China","0.154","1.0031965301907","0.998712535961642","0.999938765394126"
0.05,"EU","0.121","1.00395376006871","0.998676667768365","0.999315195936706"
0.05,"India","0.0583","1.00195405715436","0.99933466014845","0.999487370993894"
0.05,"Japan","0.054","1.00348821931572","0.999150733450735","0.999406067078704"
0.05,"ROW","0.3917","1.00548017908539","0.998026429453566","0.999378375147139"
0.05,"US","0.1931","1.0048427561323","0.999240481720365","1.0001706349144"
0.06,"Brazil","0.0279","1.00313506352756","0.999320927477433","0.999619223137354"
0.06,"China","0.154","1.00375095632059","0.999443776790118","1.00003411278686"
0.06,"EU","0.121","1.00464833132339","0.998799957594162","0.999507610815399"
0.06,"India","0.0583","1.002276396511","0.998900132412918","0.999693300929354"
0.06,"Japan","0.054","1.00409632217364","0.999135563533041","0.999403444499633"
0.06,"ROW","0.3917","1.0064464390171","0.998479860163258","1.00011671669625"
0.06,"US","0.1931","1.00569754632454","0.999518886337294","0.999592992654699"
0.07,"Brazil","0.0279","1.00357427575932","0.998756661463995","0.999862164074818"
0.07,"China","0.154","1.00427956978142","0.998870313835675","0.999522207603494"
0.07,"EU","0.121","1.00531357504244","0.999145646625775","0.999452123867158"
0.07,"India","0.0583","1.00257805707228","0.999236446010939","0.998974913353875"
0.07,"Japan","0.054","1.0046771218714","0.998812769855242","0.999693099610008"
0.07,"ROW","0.3917","1.00737284425525","0.998038020486154","0.99765874712513"
0.07,"US","0.1931","1.00651758702621","0.999304571140686","1.00059756408318"
0.08,"Brazil","0.0279","1.00399210167939","0.999143443187104","0.999788033618644"
0.08,"China","0.154","1.00478334505588","0.998973171656117","0.99966871522215"
0.08,"EU","0.121","1.00595056673452","0.998440967173367","0.998926070891478"
0.08,"India","0.0583","1.00285987723561","0.998433578949672","0.998858697462564"
0.08,"Japan","0.054","1.0052316202945","0.998891679916546","0.998871932097862"
0.08,"ROW","0.3917","1.00826074771231","0.997566978791385","1.00004858291235"
0.08,"US","0.1931","1.00730413043961","0.999236937707732","1.00062127578971"
0.09,"Brazil","0.0279","1.00438936069311","0.999118908820939","0.999324166462543"
0.09,"China","0.154","1.00526321598958","0.997765041291633","1.00126615148639"
0.09,"EU","0.121","1.0065603380244","0.999176816911799","0.999333094313986"
0.09,"India","0.0583","1.00312265853535","0.998597724669165","0.998861528313564"
0.09,"Japan","0.054","1.00576077868702","0.998176389576853","0.998542749666039"
0.09,"ROW","0.3917","1.00911145278865","0.997949080564003","0.998275229659573"
0.09,"US","0.1931","1.00805837935303","0.998659984692017","0.999289974728217"
0.1,"Brazil","0.0279","1.00476683782149","0.998328781793256","0.998676768506304"
0.1,"China","0.154","1.00572007763032","0.998530679266","0.99932409763446"
0.1,"EU","0.121","1.0071438785734","0.997091032509738","0.998307426883442"
0.1,"India","0.0583","1.00336716742577","0.998608424346715","0.999215456960367"
0.1,"Japan","0.054","1.00626551956385","0.99872028075265","0.998569647038533"
0.1,"ROW","0.3917","1.00992621536862","0.997038894315622","1.00001378620272"
0.1,"US","0.1931","1.00878148913687","0.996941589259124","0.998613539974882"
